Region,District,Variety,Age (Years),Rainfed/Irrigated,Soil Type,Intercropping,Pest/Disease Pressure,Fertilizer Use (kg/tree/year),Average Yield (Nuts/Tree/Year)
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),5,Rainfed,Reddish Brown Earth,None,Medium,0.4,86
Intermediate Zone,Puttalam,Tall,11,Rainfed,Reddish Brown Earth,None,Medium,1.1,38
Intermediate Zone,Puttalam,Tall,9,Rainfed,Reddish Brown Earth,None,Medium,1.2,72
Wet Zone,Kalutara,Dwarf (CRISL 98),3,Rainfed,Sandy Loam,None,Medium,0.9,67
Dry Zone,Puttalam,Tall,11,Rainfed,Sandy,None,Low,0.8,32
Dry Zone,Puttalam,Dwarf (CRISL 98),4,Rainfed,Sandy,None,Medium,0.7,67
Dry Zone,Puttalam,Tall,12,Rainfed,Sandy,None,Low,0.6,32
Intermediate Zone,Puttalam,Tall,7,Irrigated,Reddish Brown Earth,Cassava,Low,1.0,79
Wet Zone,Galle,Dwarf (CRIC 60),6,Irrigated,Clay Loam,Pineapple,Medium,1.0,86
Dry Zone,Anuradhapura,Tall,8,Rainfed,Sandy,None,Low,0.9,32
Intermediate Zone,Puttalam,Tall,13,Rainfed,Reddish Brown Earth,None,Low,0.6,61
Wet Zone,Galle,Tall,13,Irrigated,Sandy Loam,Banana,High,1.1,76
Wet Zone,Galle,Dwarf (CRIC 60),4,Rainfed,Clay Loam,None,Low,0.8,109
Wet Zone,Kalutara,Tall,5,Rainfed,Sandy Loam,None,Medium,0.7,67
Wet Zone,Kalutara,Tall,9,Irrigated,Clay Loam,None,Low,1.0,63
Wet Zone,Matara,Dwarf (Gon Thembili),3,Rainfed,Sandy Loam,None,Low,1.0,58
Intermediate Zone,Puttalam,Tall,13,Irrigated,Reddish Brown Earth,Sweet Potato,Low,1.0,49
Intermediate Zone,Kurunegala,Tall,14,Rainfed,Reddish Brown Earth,None,Low,1.0,51
Wet Zone,Galle,Tall,6,Irrigated,Clay Loam,Banana,Medium,1.1,58
Dry Zone,Anuradhapura,Tall,5,Rainfed,Sandy,None,Medium,0.8,47
Wet Zone,Matara,Dwarf (CRIC 60),4,Rainfed,Sandy Loam,None,High,0.7,61
Intermediate Zone,Puttalam,Dwarf (CRIC 60),5,Rainfed,Reddish Brown Earth,None,Medium,0.5,97
Wet Zone,Galle,Tall,15,Rainfed,Sandy Loam,None,High,1.2,68
Dry Zone,Puttalam,Dwarf (CRISL 98),5,Irrigated,Loamy Sand,Peanut,Low,0.9,97
Dry Zone,Polonnaruwa,Tall,11,Irrigated,Sandy,Peanut,Low,1.2,33
Dry Zone,Puttalam,Tall,8,Rainfed,Sandy,None,Low,0.6,63
Dry Zone,Puttalam,Tall,10,Rainfed,Sandy,None,Low,0.7,33
Intermediate Zone,Puttalam,Tall,7,Rainfed,Reddish Brown Earth,None,Medium,1.1,60
Dry Zone,Anuradhapura,Tall,7,Rainfed,Sandy,None,Low,1.1,33
Intermediate Zone,Kurunegala,Tall,9,Rainfed,Reddish Brown Earth,None,Low,0.5,69
Wet Zone,Kalutara,Dwarf (CRIC 60),3,Rainfed,Sandy Loam,None,Medium,0.5,72
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),4,Irrigated,Sandy,None,High,1.0,90
Wet Zone,Kalutara,Tall,11,Irrigated,Sandy Loam,Banana,High,0.9,77
Wet Zone,Galle,Tall,5,Irrigated,Sandy Loam,Banana,Medium,0.9,73
Intermediate Zone,Puttalam,Tall,5,Rainfed,Reddish Brown Earth,None,Low,0.5,33
Intermediate Zone,Puttalam,Tall,7,Irrigated,Reddish Brown Earth,None,Medium,1.0,60
Dry Zone,Anuradhapura,Dwarf (CRIC 60),6,Rainfed,Loamy Sand,None,Low,0.5,60
Wet Zone,Matara,Tall,5,Rainfed,Clay Loam,None,Medium,1.0,75
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),6,Rainfed,Loamy Sand,None,Low,0.7,94
Intermediate Zone,Puttalam,Dwarf (CRIC 60),4,Rainfed,Reddish Brown Earth,None,Medium,1.0,78
Dry Zone,Anuradhapura,Tall,8,Irrigated,Loamy Sand,Peanut,High,1.1,34
Dry Zone,Anuradhapura,Tall,10,Rainfed,Sandy,None,High,0.6,31
Intermediate Zone,Kurunegala,Tall,6,Rainfed,Reddish Brown Earth,None,Low,0.3,70
Wet Zone,Kalutara,Dwarf (Gon Thembili),5,Rainfed,Clay Loam,None,Medium,1.0,55
Wet Zone,Kalutara,Dwarf (CRIC 60),4,Irrigated,Sandy Loam,Banana,Medium,0.9,112
Intermediate Zone,Kurunegala,Tall,9,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,1.0,59
Dry Zone,Anuradhapura,Tall,6,Rainfed,Sandy,None,Medium,0.9,32
Dry Zone,Puttalam,Dwarf (CRIC 60),7,Rainfed,Sandy,None,Low,0.3,58
Intermediate Zone,Puttalam,Tall,10,Rainfed,Reddish Brown Earth,None,Low,0.6,47
Wet Zone,Matara,Tall,8,Rainfed,Clay Loam,None,Low,1.1,58
Dry Zone,Anuradhapura,Tall,12,Rainfed,Sandy,None,Low,0.5,54
Intermediate Zone,Puttalam,Tall,9,Irrigated,Reddish Brown Earth,Sweet Potato,Low,1.1,38
Intermediate Zone,Kurunegala,Tall,15,Irrigated,Reddish Brown Earth,Cassava,Low,1.1,40
Intermediate Zone,Kurunegala,Tall,10,Irrigated,Reddish Brown Earth,Cassava,High,0.9,72
Wet Zone,Matara,Tall,15,Rainfed,Clay Loam,None,Medium,0.3,37
Intermediate Zone,Puttalam,Dwarf (CRIC 60),3,Rainfed,Reddish Brown Earth,None,Low,0.8,89
Intermediate Zone,Kurunegala,Tall,14,Irrigated,Reddish Brown Earth,Sweet Potato,Low,1.0,87
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),5,Rainfed,Loamy Sand,None,Medium,0.9,49
Wet Zone,Galle,Tall,7,Rainfed,Sandy Loam,None,Medium,0.4,51
Wet Zone,Galle,Dwarf (CRIC 60),5,Rainfed,Sandy Loam,None,High,0.7,93
Wet Zone,Galle,Dwarf (CRISL 98),4,Rainfed,Clay Loam,None,Low,0.5,105
Intermediate Zone,Puttalam,Dwarf (CRIC 60),5,Rainfed,Reddish Brown Earth,None,Medium,0.6,90
Dry Zone,Puttalam,Tall,13,Rainfed,Loamy Sand,None,Low,0.9,40
Wet Zone,Galle,Tall,11,Rainfed,Sandy Loam,None,Low,1.0,54
Wet Zone,Galle,Dwarf (CRIC 60),3,Rainfed,Sandy Loam,None,High,0.6,75
Dry Zone,Anuradhapura,Dwarf (CRIC 60),5,Rainfed,Sandy,None,Low,0.8,71
Intermediate Zone,Puttalam,Dwarf (CRISL 98),5,Rainfed,Reddish Brown Earth,None,Low,0.5,78
Wet Zone,Matara,Dwarf (CRIC 60),6,Rainfed,Sandy Loam,None,Medium,0.3,69
Wet Zone,Kalutara,Tall,11,Rainfed,Sandy Loam,None,Low,0.3,32
Dry Zone,Polonnaruwa,Dwarf (CRISL 98),4,Rainfed,Sandy,None,Low,0.6,61
Dry Zone,Anuradhapura,Dwarf (CRIC 60),6,Rainfed,Sandy,None,Medium,0.5,62
Intermediate Zone,Puttalam,Tall,7,Irrigated,Reddish Brown Earth,Sweet Potato,High,1.0,58
Intermediate Zone,Puttalam,Dwarf (CRIC 60),3,Rainfed,Reddish Brown Earth,None,Low,0.5,97
Wet Zone,Galle,Dwarf (CRISL 98),7,Rainfed,Sandy Loam,None,High,1.1,78
Intermediate Zone,Puttalam,Tall,9,Rainfed,Reddish Brown Earth,None,Low,1.0,63
Dry Zone,Polonnaruwa,Tall,10,Irrigated,Sandy,Peanut,Medium,1.1,35
Dry Zone,Anuradhapura,Dwarf (CRIC 60),6,Irrigated,Sandy,None,Medium,1.0,67
Dry Zone,Polonnaruwa,Tall,5,Rainfed,Sandy,None,Medium,0.6,31
Wet Zone,Matara,Dwarf (CRISL 98),3,Irrigated,Sandy Loam,Banana,High,0.9,92
Dry Zone,Puttalam,Dwarf (CRIC 60),7,Rainfed,Sandy,None,Low,1.0,83
Wet Zone,Galle,Tall,15,Rainfed,Sandy Loam,None,Medium,0.7,40
Intermediate Zone,Puttalam,Tall,15,Irrigated,Reddish Brown Earth,Sweet Potato,High,1.0,55
Wet Zone,Galle,Dwarf (CRIC 60),7,Irrigated,Sandy Loam,Pineapple,Medium,1.0,79
Intermediate Zone,Kurunegala,Tall,13,Rainfed,Reddish Brown Earth,None,Medium,1.0,38
Dry Zone,Polonnaruwa,Dwarf (CRISL 98),7,Rainfed,Sandy,None,Medium,0.4,83
Dry Zone,Puttalam,Tall,10,Rainfed,Sandy,None,Low,0.5,30
Dry Zone,Puttalam,Tall,9,Rainfed,Sandy,None,Medium,0.8,48
Dry Zone,Anuradhapura,Tall,6,Rainfed,Sandy,None,Low,0.9,58
Wet Zone,Galle,Tall,7,Rainfed,Clay Loam,None,Medium,1.0,33
Wet Zone,Kalutara,Dwarf (CRISL 98),3,Rainfed,Clay Loam,None,Medium,0.4,75
Intermediate Zone,Kurunegala,Tall,15,Rainfed,Reddish Brown Earth,None,Medium,0.4,37
Dry Zone,Puttalam,Tall,9,Irrigated,Loamy Sand,None,Low,1.0,43
Dry Zone,Puttalam,Tall,10,Irrigated,Sandy,Cowpea,Low,1.0,54
Intermediate Zone,Puttalam,Tall,13,Irrigated,Reddish Brown Earth,Cassava,Medium,0.8,88
Wet Zone,Matara,Dwarf (CRISL 98),5,Irrigated,Sandy Loam,None,Medium,1.1,96
Intermediate Zone,Kurunegala,Tall,10,Irrigated,Reddish Brown Earth,Cassava,Low,1.1,64
Dry Zone,Anuradhapura,Dwarf (CRIC 60),3,Rainfed,Sandy,None,High,0.4,56
Intermediate Zone,Kurunegala,Tall,13,Rainfed,Reddish Brown Earth,None,Medium,0.9,33
Wet Zone,Matara,Tall,12,Rainfed,Clay Loam,None,Medium,1.1,53
Wet Zone,Galle,Tall,13,Rainfed,Clay Loam,None,Medium,0.9,58
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),4,Rainfed,Loamy Sand,None,Medium,0.9,50
Dry Zone,Anuradhapura,Tall,7,Rainfed,Sandy,None,High,0.8,27
Intermediate Zone,Puttalam,Tall,5,Irrigated,Reddish Brown Earth,Cassava,Low,0.9,68
Intermediate Zone,Puttalam,Tall,12,Irrigated,Reddish Brown Earth,None,Medium,1.1,73
Wet Zone,Galle,Dwarf (Gon Thembili),5,Rainfed,Sandy Loam,None,Medium,1.2,73
Intermediate Zone,Kurunegala,Tall,7,Rainfed,Reddish Brown Earth,None,Medium,0.5,33
Wet Zone,Galle,Dwarf (Gon Thembili),3,Irrigated,Sandy Loam,Banana,Medium,1.1,62
Wet Zone,Galle,Tall,13,Rainfed,Sandy Loam,None,Low,0.7,47
Intermediate Zone,Kurunegala,Tall,8,Irrigated,Reddish Brown Earth,None,Low,1.0,50
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),5,Irrigated,Reddish Brown Earth,None,Medium,0.9,87
Dry Zone,Polonnaruwa,Tall,13,Irrigated,Loamy Sand,None,Low,1.0,49
Dry Zone,Anuradhapura,Tall,7,Rainfed,Loamy Sand,None,Low,1.2,50
Wet Zone,Galle,Dwarf (Gon Thembili),3,Rainfed,Sandy Loam,None,Medium,0.4,79
Intermediate Zone,Kurunegala,Tall,15,Rainfed,Reddish Brown Earth,None,Low,0.4,65
Dry Zone,Anuradhapura,Dwarf (CRIC 60),3,Irrigated,Loamy Sand,None,Low,1.1,107
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),5,Rainfed,Reddish Brown Earth,None,Low,0.5,87
Dry Zone,Puttalam,Tall,5,Rainfed,Loamy Sand,None,Low,0.7,62
Dry Zone,Anuradhapura,Tall,14,Rainfed,Sandy,None,Medium,0.7,50
Wet Zone,Kalutara,Tall,10,Rainfed,Clay Loam,None,Low,0.4,72
Intermediate Zone,Puttalam,Tall,12,Rainfed,Reddish Brown Earth,None,Low,0.5,66
Intermediate Zone,Puttalam,Tall,10,Rainfed,Reddish Brown Earth,None,Medium,0.7,52
Wet Zone,Kalutara,Tall,5,Rainfed,Sandy Loam,None,Low,1.1,38
Dry Zone,Polonnaruwa,Tall,7,Rainfed,Sandy,None,Low,0.3,59
Dry Zone,Polonnaruwa,Tall,8,Irrigated,Sandy,Peanut,Medium,1.0,33
Dry Zone,Puttalam,Tall,15,Irrigated,Sandy,Cowpea,Low,1.1,33
Intermediate Zone,Kurunegala,Tall,13,Rainfed,Reddish Brown Earth,None,Low,0.8,59
Intermediate Zone,Kurunegala,Tall,14,Rainfed,Reddish Brown Earth,None,High,0.9,46
Wet Zone,Kalutara,Tall,14,Rainfed,Sandy Loam,None,Low,0.9,67
Intermediate Zone,Puttalam,Dwarf (CRISL 98),3,Irrigated,Reddish Brown Earth,None,Low,0.9,96
Wet Zone,Galle,Dwarf (CRISL 98),4,Rainfed,Clay Loam,None,Medium,0.5,95
Intermediate Zone,Kurunegala,Tall,13,Rainfed,Reddish Brown Earth,None,Low,0.5,67
Wet Zone,Galle,Dwarf (CRISL 98),6,Rainfed,Sandy Loam,None,Medium,1.2,66
Wet Zone,Kalutara,Dwarf (Gon Thembili),4,Irrigated,Sandy Loam,Banana,Medium,1.1,74
Dry Zone,Puttalam,Tall,6,Irrigated,Sandy,None,Low,1.1,60
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),7,Irrigated,Reddish Brown Earth,Cassava,Low,1.0,91
Wet Zone,Galle,Dwarf (CRIC 60),6,Rainfed,Sandy Loam,None,Low,1.0,62
Wet Zone,Kalutara,Tall,6,Rainfed,Sandy Loam,None,High,0.4,54
Dry Zone,Puttalam,Dwarf (CRISL 98),6,Rainfed,Loamy Sand,None,Low,0.6,76
Intermediate Zone,Puttalam,Tall,15,Rainfed,Reddish Brown Earth,None,Medium,0.7,71
Wet Zone,Matara,Dwarf (CRISL 98),6,Irrigated,Sandy Loam,Banana,High,1.0,82
Dry Zone,Anuradhapura,Tall,15,Rainfed,Sandy,None,Medium,1.2,42
Wet Zone,Matara,Dwarf (CRIC 60),5,Rainfed,Clay Loam,None,Low,0.8,85
Wet Zone,Galle,Dwarf (CRISL 98),3,Rainfed,Clay Loam,None,High,1.0,100
Wet Zone,Matara,Tall,9,Irrigated,Sandy Loam,Banana,Low,1.0,82
Intermediate Zone,Puttalam,Dwarf (CRIC 60),6,Irrigated,Reddish Brown Earth,Cassava,Low,0.8,107
Dry Zone,Polonnaruwa,Tall,6,Irrigated,Sandy,None,Low,0.8,70
Wet Zone,Kalutara,Tall,10,Rainfed,Clay Loam,None,Low,0.5,62
Dry Zone,Puttalam,Dwarf (CRIC 60),5,Rainfed,Loamy Sand,None,Medium,1.2,91
Dry Zone,Puttalam,Tall,9,Rainfed,Sandy,None,High,0.7,39
Dry Zone,Anuradhapura,Tall,15,Irrigated,Sandy,Peanut,Low,0.9,66
Wet Zone,Kalutara,Dwarf (CRIC 60),6,Rainfed,Clay Loam,None,Medium,1.1,89
Intermediate Zone,Puttalam,Tall,5,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,1.0,40
Dry Zone,Puttalam,Tall,12,Rainfed,Loamy Sand,None,Low,0.4,48
Wet Zone,Matara,Tall,10,Rainfed,Clay Loam,None,Medium,1.1,43
Dry Zone,Anuradhapura,Tall,9,Rainfed,Loamy Sand,None,Medium,0.6,55
Dry Zone,Anuradhapura,Dwarf (CRIC 60),7,Rainfed,Loamy Sand,None,High,1.0,73
Wet Zone,Kalutara,Tall,6,Irrigated,Sandy Loam,Pineapple,Medium,0.9,74
Intermediate Zone,Kurunegala,Tall,9,Irrigated,Reddish Brown Earth,None,Medium,1.0,71
Dry Zone,Puttalam,Tall,10,Rainfed,Sandy,None,Medium,0.7,39
Dry Zone,Anuradhapura,Tall,5,Rainfed,Loamy Sand,None,Low,0.6,58
Intermediate Zone,Kurunegala,Tall,9,Irrigated,Reddish Brown Earth,Cassava,Medium,0.9,55
Wet Zone,Kalutara,Dwarf (CRIC 60),7,Irrigated,Sandy Loam,Banana,Medium,1.0,114
Dry Zone,Polonnaruwa,Tall,10,Rainfed,Loamy Sand,None,Low,0.9,61
Wet Zone,Galle,Dwarf (CRIC 60),3,Rainfed,Sandy Loam,None,Low,0.5,77
Wet Zone,Kalutara,Tall,7,Irrigated,Sandy Loam,Pineapple,Low,1.0,58
Dry Zone,Anuradhapura,Tall,15,Rainfed,Sandy,None,Low,0.6,31
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),3,Irrigated,Sandy,Peanut,Medium,1.1,92
Intermediate Zone,Kurunegala,Tall,5,Rainfed,Reddish Brown Earth,None,Medium,0.7,35
Dry Zone,Polonnaruwa,Tall,10,Rainfed,Loamy Sand,None,Medium,1.1,47
Intermediate Zone,Puttalam,Dwarf (CRIC 60),4,Rainfed,Reddish Brown Earth,None,Medium,0.5,82
Wet Zone,Galle,Tall,12,Irrigated,Sandy Loam,Banana,Low,0.9,82
Dry Zone,Puttalam,Dwarf (Gon Thembili),5,Rainfed,Sandy,None,Medium,1.0,58
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),7,Rainfed,Reddish Brown Earth,None,High,1.1,93
Dry Zone,Polonnaruwa,Tall,11,Irrigated,Sandy,Cowpea,Medium,1.1,76
Wet Zone,Galle,Tall,15,Rainfed,Sandy Loam,None,Medium,0.7,32
Wet Zone,Matara,Dwarf (Gon Thembili),3,Rainfed,Clay Loam,None,High,0.8,86
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),7,Rainfed,Reddish Brown Earth,None,Medium,0.7,85
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),4,Rainfed,Reddish Brown Earth,None,Low,1.0,58
Intermediate Zone,Puttalam,Tall,11,Rainfed,Reddish Brown Earth,None,Low,1.1,50
Intermediate Zone,Puttalam,Tall,14,Rainfed,Reddish Brown Earth,None,Medium,0.5,39
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),6,Rainfed,Reddish Brown Earth,None,Medium,0.7,93
Dry Zone,Anuradhapura,Tall,8,Irrigated,Sandy,Peanut,Low,0.8,54
Dry Zone,Puttalam,Dwarf (CRISL 98),7,Rainfed,Sandy,None,Medium,0.8,68
Wet Zone,Galle,Tall,8,Rainfed,Sandy Loam,None,Medium,1.2,36
Intermediate Zone,Puttalam,Dwarf (CRIC 60),6,Rainfed,Reddish Brown Earth,None,Medium,1.0,80
Dry Zone,Anuradhapura,Tall,5,Rainfed,Loamy Sand,None,Low,0.7,55
Intermediate Zone,Puttalam,Tall,11,Rainfed,Reddish Brown Earth,None,Low,0.3,60
Dry Zone,Anuradhapura,Dwarf (CRIC 60),7,Rainfed,Loamy Sand,None,Low,0.4,91
Wet Zone,Kalutara,Tall,10,Irrigated,Clay Loam,Pineapple,High,1.1,69
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),7,Rainfed,Loamy Sand,None,Medium,1.2,88
Wet Zone,Kalutara,Dwarf (CRISL 98),3,Rainfed,Sandy Loam,None,Medium,0.8,94
Wet Zone,Galle,Tall,6,Rainfed,Sandy Loam,None,Medium,0.5,30
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),4,Irrigated,Reddish Brown Earth,Cassava,Low,0.9,92
Intermediate Zone,Puttalam,Tall,5,Rainfed,Reddish Brown Earth,None,Medium,0.9,60
Wet Zone,Kalutara,Dwarf (CRIC 60),7,Rainfed,Sandy Loam,None,High,0.9,81
Dry Zone,Anuradhapura,Tall,6,Irrigated,Sandy,None,Medium,0.9,75
Wet Zone,Galle,Tall,7,Rainfed,Clay Loam,None,High,0.9,77
Wet Zone,Kalutara,Dwarf (Gon Thembili),5,Rainfed,Clay Loam,None,High,0.8,61
Wet Zone,Galle,Dwarf (CRIC 60),7,Irrigated,Sandy Loam,Pineapple,Medium,1.0,118
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),5,Rainfed,Sandy,None,Medium,1.0,71
Intermediate Zone,Kurunegala,Tall,9,Irrigated,Reddish Brown Earth,None,Medium,1.0,66
Dry Zone,Polonnaruwa,Tall,12,Irrigated,Loamy Sand,Peanut,Medium,1.0,72
Intermediate Zone,Kurunegala,Tall,14,Rainfed,Reddish Brown Earth,None,Medium,0.5,56
Intermediate Zone,Kurunegala,Tall,12,Irrigated,Reddish Brown Earth,Cassava,Low,1.1,52
Dry Zone,Anuradhapura,Tall,6,Rainfed,Sandy,None,Low,1.1,49
Intermediate Zone,Puttalam,Dwarf (CRIC 60),5,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,1.2,77
Dry Zone,Anuradhapura,Dwarf (CRISL 98),3,Irrigated,Sandy,Peanut,High,1.1,90
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),5,Rainfed,Sandy,None,Medium,1.0,50
Dry Zone,Anuradhapura,Dwarf (CRIC 60),7,Irrigated,Sandy,None,Low,0.9,77
Wet Zone,Kalutara,Tall,11,Rainfed,Clay Loam,None,Low,1.0,77
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),6,Rainfed,Reddish Brown Earth,None,Low,0.4,68
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),6,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,1.1,83
Intermediate Zone,Kurunegala,Tall,10,Irrigated,Reddish Brown Earth,Cassava,Medium,0.8,52
Wet Zone,Matara,Dwarf (CRIC 60),4,Irrigated,Clay Loam,None,High,0.9,99
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),3,Irrigated,Sandy,Peanut,Medium,1.0,89
Dry Zone,Puttalam,Dwarf (CRIC 60),7,Rainfed,Loamy Sand,None,Low,1.2,84
Dry Zone,Puttalam,Tall,8,Rainfed,Loamy Sand,None,Low,0.6,59
Dry Zone,Puttalam,Dwarf (CRISL 98),4,Rainfed,Loamy Sand,None,Medium,0.6,81
Intermediate Zone,Kurunegala,Tall,8,Rainfed,Reddish Brown Earth,None,Medium,1.1,67
Wet Zone,Kalutara,Dwarf (CRISL 98),3,Irrigated,Sandy Loam,Pineapple,Medium,0.8,110
Intermediate Zone,Puttalam,Tall,5,Rainfed,Reddish Brown Earth,None,Medium,0.6,37
Intermediate Zone,Puttalam,Tall,13,Rainfed,Reddish Brown Earth,None,Low,0.3,37
Dry Zone,Polonnaruwa,Tall,12,Irrigated,Loamy Sand,Peanut,Low,1.0,70
Wet Zone,Matara,Tall,13,Irrigated,Clay Loam,Banana,Medium,1.2,66
Dry Zone,Puttalam,Tall,15,Rainfed,Sandy,None,Medium,0.9,61
Intermediate Zone,Kurunegala,Tall,7,Rainfed,Reddish Brown Earth,None,High,0.9,72
Dry Zone,Polonnaruwa,Tall,14,Irrigated,Sandy,None,Medium,1.1,36
Wet Zone,Kalutara,Tall,9,Rainfed,Clay Loam,None,Medium,0.4,63
Dry Zone,Puttalam,Tall,9,Rainfed,Loamy Sand,None,Medium,1.1,50
Wet Zone,Matara,Tall,13,Irrigated,Clay Loam,None,Medium,0.9,41
Wet Zone,Galle,Tall,5,Rainfed,Clay Loam,None,Medium,1.1,72
Intermediate Zone,Kurunegala,Tall,6,Rainfed,Reddish Brown Earth,None,Low,0.4,59
Dry Zone,Anuradhapura,Tall,11,Rainfed,Sandy,None,Medium,0.9,58
Dry Zone,Anuradhapura,Dwarf (CRIC 60),5,Rainfed,Sandy,None,High,1.0,55
Dry Zone,Anuradhapura,Tall,8,Rainfed,Loamy Sand,None,High,0.6,50
Intermediate Zone,Puttalam,Tall,12,Rainfed,Reddish Brown Earth,None,Medium,0.4,57
Dry Zone,Puttalam,Tall,7,Rainfed,Sandy,None,Low,0.4,61
Dry Zone,Anuradhapura,Dwarf (CRISL 98),7,Rainfed,Loamy Sand,None,Low,0.5,85
Dry Zone,Anuradhapura,Tall,9,Rainfed,Sandy,None,Low,0.8,63
Wet Zone,Kalutara,Dwarf (Gon Thembili),7,Irrigated,Clay Loam,None,Medium,1.0,90
Wet Zone,Galle,Tall,14,Rainfed,Clay Loam,None,Medium,1.2,76
Wet Zone,Kalutara,Tall,11,Rainfed,Clay Loam,None,High,1.2,68
Intermediate Zone,Puttalam,Tall,6,Rainfed,Reddish Brown Earth,None,High,0.5,56
Wet Zone,Galle,Tall,5,Rainfed,Sandy Loam,None,High,0.9,53
Intermediate Zone,Puttalam,Dwarf (CRIC 60),7,Rainfed,Reddish Brown Earth,None,Low,1.0,72
Dry Zone,Anuradhapura,Tall,9,Rainfed,Sandy,None,Medium,0.4,50
Wet Zone,Kalutara,Dwarf (CRIC 60),5,Rainfed,Sandy Loam,None,Medium,0.3,68
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),4,Rainfed,Reddish Brown Earth,None,Medium,1.1,75
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),7,Rainfed,Reddish Brown Earth,None,Low,0.3,89
Dry Zone,Puttalam,Tall,13,Irrigated,Sandy,Peanut,Medium,0.9,50
Intermediate Zone,Puttalam,Dwarf (CRISL 98),3,Rainfed,Reddish Brown Earth,None,Medium,1.0,72
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),3,Irrigated,Reddish Brown Earth,Cassava,Low,0.9,103
Wet Zone,Galle,Dwarf (CRIC 60),4,Rainfed,Clay Loam,None,Medium,1.2,94
Wet Zone,Matara,Tall,14,Rainfed,Sandy Loam,None,Medium,0.3,38
Dry Zone,Puttalam,Tall,14,Irrigated,Loamy Sand,Peanut,Low,1.0,42
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),6,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,0.8,98
Wet Zone,Galle,Dwarf (CRIC 60),7,Rainfed,Sandy Loam,None,High,0.5,91
Dry Zone,Anuradhapura,Tall,10,Irrigated,Sandy,Peanut,Medium,0.8,32
Wet Zone,Galle,Dwarf (CRIC 60),7,Irrigated,Sandy Loam,Banana,Low,1.1,76
Dry Zone,Anuradhapura,Tall,8,Rainfed,Loamy Sand,None,Medium,1.2,40
Wet Zone,Kalutara,Tall,5,Irrigated,Sandy Loam,Banana,High,1.1,70
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),5,Irrigated,Reddish Brown Earth,Sweet Potato,Low,1.2,83
Wet Zone,Kalutara,Tall,11,Rainfed,Clay Loam,None,Medium,1.1,64
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),5,Rainfed,Sandy,None,Medium,0.8,71
Intermediate Zone,Puttalam,Tall,13,Rainfed,Reddish Brown Earth,None,Medium,0.4,70
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),6,Rainfed,Reddish Brown Earth,None,Low,0.9,104
Dry Zone,Polonnaruwa,Tall,14,Rainfed,Sandy,None,High,1.0,40
Dry Zone,Anuradhapura,Dwarf (CRISL 98),7,Irrigated,Sandy,Peanut,Low,1.0,76
Dry Zone,Polonnaruwa,Tall,6,Rainfed,Sandy,None,Low,0.4,44
Wet Zone,Kalutara,Dwarf (Gon Thembili),6,Irrigated,Sandy Loam,None,Medium,1.0,98
Wet Zone,Galle,Tall,15,Rainfed,Sandy Loam,None,High,0.9,44
Intermediate Zone,Puttalam,Tall,14,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,1.0,42
Wet Zone,Galle,Dwarf (Gon Thembili),3,Rainfed,Sandy Loam,None,High,1.0,81
Dry Zone,Puttalam,Tall,15,Irrigated,Loamy Sand,Peanut,Medium,1.0,68
Wet Zone,Galle,Tall,12,Rainfed,Sandy Loam,None,Medium,0.7,59
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),4,Rainfed,Loamy Sand,None,Medium,0.7,57
Wet Zone,Matara,Tall,7,Rainfed,Clay Loam,None,High,1.1,41
Dry Zone,Anuradhapura,Dwarf (CRISL 98),3,Rainfed,Sandy,None,Medium,0.6,79
